BRD-K70792160,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
BRD-K07881437,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCN(C)CC3)c2C1)c1ccccc1
BRD-K46604138,CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1
BRD-K12885236,Cc1cc(C)c(Nc2ccnc(Nc3ccc(cc3)C#N)n2)c(C)c1
BRD-K62363391,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1
BRD-K19085898,CCN(CC)CCN(Cc1ccc(cc1)-c1ccc(cc1)C(F)(F)F)C(=O)Cn1c2CCCc2c(=O)nc1SCc1ccc(F)cc1
BRD-K95773607,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c1ccccc1)c1ccccc1
BRD-K84986517,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1
BRD-K02943813,COc1c(cc(cc1C(C)(C)C)-n1ccc(=O)[nH]c1=O)-c1ccc2cc(NS(C)(=O)=O)ccc2c1
BRD-K49328571,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
BRD-A68009927,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(C)=O
BRD-K20738689,Cc1c(Cn2ccnc2)c2ccccc2n1CCC(O)=O
BRD-K82767007,OC(=O)c1ccc(OCCn2ccnc2)cc1
BRD-K79254416,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
BRD-K43578482,CNC(=O)c1ccc(Nc2ncc(c(NCc3nccnc3N(C)S(C)(=O)=O)n2)C(F)(F)F)cc1
BRD-K97010173,OC(=O)c1ccc(cc1)-n1nc(nc1-c1ccccc1O)-c1ccccc1O
BRD-K06878038,Cc1c(O)c(=O)ccn1C
BRD-K09078998,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@@H]1OP(C)(C)=O
BRD-K85833139,C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O
BRD-K59325863,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(n1)-c1ccccc1)[C@@H](C)O)B(O)O
BRD-K45503887,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(O)=O
BRD-K41170226,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
BRD-K77685957,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc12
BRD-A49399758,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCSSCC(NC(=O)C(CC(N)=O)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCNC(N)=N)C(=O)NCC(N)=O
BRD-K13819402,C1CN2Cc3ccccc3N=C2C1
BRD-A98845662,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
BRD-A69951442,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO
BRD-A35108200,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
BRD-A93424738,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O
BRD-K58626373,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F
BRD-K07609981,CCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O)NC(=O)c1ccc(Cl)c(Cl)c1
BRD-K44309363,COC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OCCCN1CCC(CC1)(c1ccccc1)c1ccccc1
BRD-K33211335,COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1
BRD-K69122748,CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(C)=O)c3C(=O)c12)C(O)=O
BRD-K16508793,CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1
BRD-K73109821,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
BRD-K08252256,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
BRD-A51078674,COc1ccc2C(CN(C)Cc2c1)c1ccc(Cl)c(Cl)c1
BRD-K05673000,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(Cl)cccc1Cl
BRD-K82236179,Oc1c(Cc2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12
BRD-K84794093,Nc1ncnc2n(cnc12)[C@H]1CC[C@@H](CO)O1
BRD-K64504314,C[C@@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N
BRD-K45542189,CCN(CC)C(=O)N1CCN(C)CC1
BRD-K45330754,CC\C(c1ccc(O)cc1)=C(\CC)c1ccc(O)cc1
BRD-K22031190,OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F
BRD-A94756469,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
BRD-K97440753,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
BRD-K72166146,CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
BRD-K48722258,COc1cc(cc(OC)c1OC)C(=O)OCCCN1CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC1
BRD-A69636825,COc1ccc(cc1)C1Sc2ccccc2N(CCN(C)C)C(=O)C1OC(C)=O
BRD-K30126819,OS(=O)(=O)CCSSCCS(O)(=O)=O
BRD-K31111078,COC(=O)\C=C\C(=O)OC
BRD-K92848252,NC(=N)c1ccc(N\N=N\c2ccc(cc2)C(N)=N)cc1
BRD-K13662825,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N1CCCC[C@H]1CCO
BRD-K81672972,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O
BRD-K94436377,COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1
BRD-K01663662,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
BRD-K22936972,CN1CCC(CC1)OC(c1ccccc1)c1ccccc1
BRD-K64838454,Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1
BRD-K86301799,OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO
BRD-A29734509,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
BRD-K32744045,CCN(CC)C(=S)SSC(=S)N(CC)CC
BRD-K89274813,Fc1cc(CC2(Cc3ccnc(F)c3)c3ccccc3C(=O)c3ccccc23)ccn1
BRD-K54936858,CCC[C@@H](NC(=O)N1[C@@H](Oc2ccc(cc2)C(=O)N2CCN(C)CC2)C(CC)(CC)C1=O)c1ccc2OCOc2c1
BRD-A05821830,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
BRD-A14941520,OC(COc1cccc2ncccc12)CN1CCN(CC1)C(=O)C(c1ccccc1)c1ccccc1
BRD-K34008116,O=C(O[C@H]1C[C@@H]2C[C@@H]3C[C@@H](C1)N2CC3=O)c1c[nH]c2ccccc12
BRD-K78567475,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C
BRD-K36386086,C[C@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12
BRD-A49160188,COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC
BRD-K31092604,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(CC3)c3ccc(cc3)C#N)cc12
BRD-K43887077,NCCc1ccc(O)c(O)c1
BRD-K74065929,Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
BRD-K71075609,CCN[C@@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
BRD-K54759182,CN(C)CC\C=C1/c2ccccc2CSc2ccccc12
BRD-K85402309,CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O
BRD-A46179541,CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1
BRD-A13188892,COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1
BRD-K37694030,CN(C)CC\C=C1\c2ccccc2COc2ccccc12
BRD-K83057217,C[C@H]1O[C@H]([C@@H](O)[C@@H]1O)n1cc(F)c(=O)[nH]c1=O
BRD-K70507123,Cn1c2ncn(CC3OCCO3)c2c(=O)n(C)c1=O
BRD-K92093830,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
BRD-A08545410,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12
BRD-K01824921,CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)C1CCCC1
BRD-A64553394,OC(COc1cccc2[nH]c(cc12)C#N)CN1CCN(CC1)C(c1ccccc1)c1ccccc1
BRD-K05524748,CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c1c(CCCC)oc2ccc(NS(C)(=O)=O)cc12
BRD-K97158071,Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c2ccccc2[nH]c1=O
BRD-A00938334,C[C@]12CCC3C([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1
BRD-K08859203,N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(O)=O
BRD-K71103788,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
BRD-K28984613,C[C@]12CC[C@@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@H]2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F
BRD-K50564936,COc1cc(ccc1-n1cnc(C)c1)\C=C1/CCCN([C@@H](C)c2ccc(F)cc2)C1=O
BRD-K29359156,O=c1n([se]c2ccccc12)-c1ccccc1
BRD-K03353589,CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1S(O)(=O)=O)C(O)=O
BRD-A51820102,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
BRD-K29322660,CN(C)C(=O)[C@@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](C1)NC(=O)c1nc2CCN(C)Cc2s1
BRD-K86892782,CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
BRD-K37355418,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(O)=O)cc2)c1
BRD-A24560335,Cc1cc(Oc2ccc3nc(COc4ccc(CC5SC(=O)NC5=O)cc4)n(C)c3c2)cc(C)c1N
BRD-K40758068,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC1CC1
BRD-A96292436,NCCCC(N)(C(F)F)C(O)=O
BRD-K88807631,COc1cc2CCN(CCc3ccc(NC(=O)c4cccc5c4[nH]c4c(OC)cccc4c5=O)cc3)Cc2cc1OC
BRD-K82135108,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1
BRD-K30466858,Oc1cc2c3c(oc(=O)c4cc(O)c(O)c(oc2=O)c34)c1O
BRD-K54472332,COc1cc2n(cc(C(O)=O)c(=O)c2cc1Cc1cccc(Cl)c1F)[C@H](CO)C(C)C
BRD-K97963946,CN1CCC(COc2cnc(nc2)-c2cccc(Cn3nc(ccc3=O)-c3cccc(c3)C#N)c2)CC1
BRD-A65248799,COc1ccc(cc1OC)C(=O)N1CCCc2cc(ccc12)C1=NNC(=O)SC1C
BRD-K15010214,CCOCCn1c(nc2ccccc12)N1CCCN(C)CC1
BRD-K53765467,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1ccc(Cl)c(Cc2ccc(O[C@H]3CCOC3)cc2)c1
BRD-K61452026,Nc1nc(=O)n(cc1F)[C@@H]1CS[C@H](CO)O1
BRD-K57545991,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
BRD-K68488863,CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(\C=C\c2ccccc2)n1
BRD-K78113049,CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N1CCNCC1
BRD-K80535353,C[C@]12CC[C@@](C)(C[C@@H]1C1=CC(=O)[C@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O
BRD-K35007173,CCCn1c2nc[nH]c2c(=O)[nH]c1=O
BRD-K08206212,Nc1nc(=O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)C3=C)c2[nH]1
BRD-K77908580,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
BRD-K56851771,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C1(C)C)c1ccc(C#N)c(c1)C(F)(F)F
BRD-K79404599,Cn1cc(C2=C(C(=O)NC2=O)c2cn(C3CCN(Cc4ccccn4)CC3)c3ccccc23)c2ccccc12
BRD-K47554101,CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCN(CC2)C(=O)CO)c(F)c1
BRD-K55591206,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
BRD-A98990573,NC1=NCC2N1c1ccccc1Cc1ccccc21
BRD-K63126190,CNC[C@H](O)c1ccc(O)c(O)c1
BRD-K39339537,COc1cc(C)nn1-c1nc(C)cc(OC)n1
BRD-K56844688,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
BRD-K02314383,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H]5S[C@@H]5C[C@]34C)[C@@H]1CC[C@@H]2O
BRD-K19761926,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]22CCC(=O)O2)[C@H]13
BRD-K68164687,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@@H](OC(=O)C[C@@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1
BRD-A90547603,NC(=N)NCCCCC1NC(=O)CCSSCC(NC(=O)C2CCCN2C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(O)=O)NC(=O)CNC1=O)C(N)=O
BRD-K57754230,Cc1cc(C)c(CNC(=O)c2cc(cc3n(ncc23)C2CCCC2)-c2ccc(CN3CCOCC3)cc2)c(=O)[nH]1
BRD-K54847683,Oc1ccc(cc1)[C@H]1COc2cc(O)ccc2C1
BRD-K84163249,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
BRD-K70401845,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
BRD-K80608265,Oc1ccc(cc1)[C@@H]1Oc2ccc(O)cc2[C@@H]2CCC[C@H]12
BRD-K63550407,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
BRD-K51677086,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
BRD-K70301876,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1
BRD-K36270037,OC[C@H]1O[C@@H](Oc2cc3ccc(=O)oc3cc2O)[C@@H](O)[C@@H](O)[C@@H]1O
BRD-A07395371,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A55962179,COc1ccc2nc([nH]c2c1)S(=O)Cc1ncc(C)c(OC)c1C
BRD-A18917088,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@H]2O
BRD-A70858459,C[C@]12CCC3C(CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)C1CC[C@@H]2O
BRD-K00077635,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2OP(O)(O)=O
BRD-A18620900,C[C@]12CCC3C(CCc4cc(O)ccc34)C1C[C@@H](O)[C@@H]2O
BRD-A37959677,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CCC2=O
BRD-K63630713,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl
BRD-K96042922,OCCNC(=O)Cn1ccnc1[N+]([O-])=O
BRD-K64755930,CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C
BRD-A02367930,C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C
BRD-K82603084,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
BRD-K68232413,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
BRD-A74667430,CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12
BRD-K73541271,OCCOCCOC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
BRD-K49840922,Cn1c2ncn(CCOC(=O)C(C)(C)Oc3ccc(Cl)cc3)c2c(=O)n(C)c1=O
BRD-A54880345,CCOC(=O)c1cncn1C(C)c1ccccc1
BRD-K32405725,CCOC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1
BRD-K37798499,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
BRD-A33280134,COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(OC2O[C@@H]3COC(C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
BRD-K54770957,Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O
BRD-K74717603,Cc1cc(cc(C)c1Oc1nc(Nc2ccc(cc2)C#N)nc(N)c1Br)C#N
BRD-K32977963,COc1cc(CC=C)ccc1O
BRD-A25736793,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
BRD-K13514097,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
BRD-K13154216,CO[C@@H]1C[C@H](C[C@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
BRD-K71603915,Clc1cccc2cc(sc12)C(=O)N[C@H]1CN2CCC1CC2
BRD-K76964878,NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21
BRD-A73908300,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21
BRD-K12609457,CCCCCCOc1ccccc1C(N)=O
BRD-A73741725,C[C@]12CCC3C(CC(=C)C4=CC(=O)C=C[C@]34C)C1CCC2=O
BRD-K81795818,CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(N)=O)NC(C)=O
BRD-K65716359,Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O
BRD-A25619068,N#Cc1ccc(cc1)C1CCCc2cncn12
BRD-K45033733,CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O
BRD-K00673382,NC(N)=Nc1nc(CSCC\C(N)=N/S(N)(=O)=O)cs1
BRD-A49622760,CC(O)C1C2SC(C3CCCO3)=C(N2C1=O)C(O)=O
BRD-K76617868,O=S(=O)(N1CCCNCC1)c1cccc2cnccc12
BRD-K04264130,NC(=O)c1nc(F)cnc1O
BRD-K18157228,Nc1nc(=O)n(cc1F)[C@H]1C[C@H](O)[C@@H](CO)O1
BRD-K48367671,CC(C)COc1ccc(cc1C#N)-c1nc(C)c(s1)C(O)=O
BRD-K99107520,NC(=O)OCC(COC(N)=O)c1ccccc1
BRD-K91740057,OC(=O)Cc1ccc(cc1)-c1ccccc1
BRD-A30815329,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC
BRD-K41160163,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1
BRD-A50684349,Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12
BRD-A97104540,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
BRD-K16077845,OC(=O)Cc1sc(nc1-c1ccc(Cl)cc1)-c1ccccc1
BRD-A33697453,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1
BRD-A73368467,CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
BRD-K07160047,Nc1nc(=O)n(cc1I)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
BRD-A63752151,NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1
BRD-K57371763,CC[C@H]1\C=C(C)/[C@@H](O)C\C=C\C=C(CO[C@@H]2O[C@H](C)[C@@H](OC(=O)c3c(O)c(Cl)c(O)c(Cl)c3CC)[C@H](O)[C@@H]2OC)\C(=O)O[C@H](C\C=C(C)\C=C(C)[C@H]1O[C@@H]1OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@H]1O)[C@@H](C)O
BRD-K16803204,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1
BRD-A83081521,CC(C)(C)NC(=O)[C@H]1CCC2C3CCC4NC(=O)C=C[C@]4(C)C3CC[C@]12C
BRD-K88025533,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
BRD-A50675702,Nc1c(c(nn1-c1c(Cl)cc(cc1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
BRD-K17513304,CCOCc1cc(OC)c(-c2ccc(C[C@H](NC(=O)c3c(F)cccc3F)C(O)=O)cc2)c(OC)c1
BRD-K58550667,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
BRD-K83508485,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1cn(C)c2ccccc12
BRD-K47639036,Cc1c(oc2c(cccc2c1=O)C(=O)OCCN1CCCCC1)-c1ccccc1
BRD-A09472452,FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1
BRD-K73088654,OC[C@H]1O[C@@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O
BRD-K05977355,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
BRD-K71106091,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
BRD-A49765801,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)CC[C@]5(C)C4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
BRD-K68870568,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2cnc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
BRD-K98769987,CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(F)ccc-21
BRD-A15297126,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
BRD-A13133631,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12
BRD-A31159102,CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1
BRD-K55127134,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
